ID	LENGTH	ALIGNED	UNALIGNED	VARIANT	HET	MASKED	LOWCOV
snippy_ERR10794327	3931794	3419776	439913	30468	715	0	71390
snippy_ERR10802836	3931794	3081331	763384	33569	937	0	86142
snippy_ERR10802837	3931794	3257401	598227	33149	921	0	75245
snippy_ERR10805899	3931794	3148441	709247	33897	855	0	73251
snippy_ERR10808103	3931794	3293455	507170	32216	428	0	130741
snippy_ERR10808115	3931794	3090104	762243	32498	560	0	78887
snippy_ERR10808136	3931794	3281831	580490	28934	713	0	68760
snippy_ERR10809417	3931794	3370743	476242	31449	576	0	84233
snippy_ERR10809418	3931794	3051081	816540	33134	322	0	63851
snippy_ERR10812834	3931794	3212612	638865	31368	542	0	79775
snippy_ERR10812835	3931794	3369531	471907	31012	692	0	89664
snippy_ERR10812836	3931794	3366414	473035	30652	688	0	91657
snippy_ERR10812837	3931794	3187518	622385	31612	932	0	120959
snippy_ERR10812838	3931794	3225892	594537	31057	1298	0	110067
snippy_ERR10812839	3931794	3269272	584627	31573	643	0	77252
snippy_ERR10812840	3931794	3198198	654016	29811	464	0	79116
snippy_ERR10812841	3931794	3251911	609991	30983	217	0	69675
snippy_ERR10812867	3931794	3274757	597859	26696	770	0	58408
snippy_ERR10812868	3931794	3080763	775532	30490	279	0	75220
snippy_ERR10812869	3931794	3150134	709502	30423	585	0	71573
snippy_ERR10812870	3931794	3149873	709124	30097	753	0	72044
snippy_ERR10812871	3931794	3357031	511512	29525	492	0	62759
snippy_ERR10812872	3931794	3226142	633596	29433	289	0	71767
snippy_ERR10812873	3931794	3084742	738759	29629	414	0	107879
snippy_ERR10820997	3931794	3234023	600617	25727	729	0	96425
snippy_ERR10852925	3931794	2828205	1032281	30290	672	0	70636
snippy_ERR10852926	3931794	3245761	610236	29759	279	0	75518
snippy_ERR10852929	3931794	3220808	646922	29335	298	0	63766
snippy_ERR10852931	3931794	3247336	590301	29292	1352	0	92805
snippy_ERR10852932	3931794	2955078	889637	28243	1372	0	85707
snippy_ERR10852933	3931794	3271243	574821	27436	327	0	85403
snippy_ERR10852935	3931794	3239931	628623	27631	299	0	62941
snippy_ERR10852936	3931794	3447011	407437	27186	948	0	76398
snippy_ERR10852938	3931794	3246687	590645	28428	1367	0	93095
snippy_ERR10852993	3931794	3245664	591299	28421	1599	0	93232
snippy_ERR10852995	3931794	3370429	476857	27128	608	0	83900
snippy_ERR10852996	3931794	3110841	738092	27947	891	0	81970
snippy_ERR10853648	3931794	3181231	683740	27454	561	0	66262
snippy_ERR10854234	3931794	3147469	705744	27824	824	0	77757
snippy_ERR10854472	3931794	3145974	710290	28042	706	0	74824
snippy_ERR10854473	3931794	3147534	710085	28177	788	0	73387
snippy_ERR10854474	3931794	3148890	709703	27878	787	0	72414
snippy_ERR10854475	3931794	3227193	630399	24596	596	0	73606
snippy_ERR10854476	3931794	3093543	749172	27679	544	0	88535
snippy_ERR10854480	3931794	3281397	578834	24444	753	0	70810
snippy_ERR10854483	3931794	3282606	579513	24444	692	0	68983
snippy_ERR10854484	3931794	3134517	715615	27922	514	0	81148
snippy_ERR3569448	3931794	3352454	493430	27020	502	0	85408
snippy_ERR3569449	3931794	3357845	491649	27018	614	0	81686
snippy_ERR3569450	3931794	3352396	492957	27013	605	0	85836
snippy_ERR3569451	3931794	3358480	490963	27016	651	0	81700
snippy_ERR4436595	3931794	3231679	605999	28095	889	0	93227
snippy_ERR4436596	3931794	3661408	239682	3458	501	0	30203
snippy_ERR4436597	3931794	3667602	229548	3455	570	0	34074
snippy_ERR4436754	3931794	3688146	203381	3405	516	0	39751
snippy_ERR4783167	3931794	3367984	186681	2317	337238	0	39891
snippy_ERR4783172	3931794	3302752	541664	15708	1642	0	85736
snippy_ERR4783180	3931794	3290203	559765	15727	2266	0	79560
snippy_ERR4783186	3931794	3674460	213406	2140	1609	0	42319
snippy_ERR4783188	3931794	3673759	213872	2140	1606	0	42557
snippy_ERR4783194	3931794	3369379	496450	15361	1007	0	64958
snippy_ERR4783195	3931794	3673647	214057	2140	1603	0	42487
snippy_ERR4783200	3931794	3223453	631186	15498	992	0	76163
snippy_ERR4783203	3931794	3672795	214489	2110	1584	0	42926
snippy_ERR4783208	3931794	3290705	559790	15633	2462	0	78837
snippy_ERR4783214	3931794	3358621	495952	14584	631	0	76590
snippy_ERR4783216	3931794	3673472	214427	2107	1526	0	42369
snippy_ERR4783222	3931794	3294458	557515	15626	2005	0	77816
snippy_ERR4783223	3931794	3677927	211032	2114	1411	0	41424
snippy_ERR4783228	3931794	3252379	599813	15623	1888	0	77714
snippy_ERR4783231	3931794	3674839	213626	2105	1665	0	41664
snippy_ERR4783239	3931794	3678176	211097	2112	1288	0	41233
snippy_ERR4783244	3931794	3291905	566110	14751	543	0	73236
snippy_ERR4783250	3931794	3318267	543629	15844	964	0	68934
snippy_ERR4783252	3931794	3673665	213877	2105	1643	0	42609
snippy_ERR4783258	3931794	3678776	211000	2112	1370	0	40648
snippy_ERR4783259	3931794	3318413	543001	15868	771	0	69609
snippy_ERR4783264	3931794	3271427	587709	15442	445	0	72213
snippy_ERR4783385	3931794	3577493	215183	5650	49725	0	89393
snippy_ERR4783387	3931794	3289444	560291	12610	2383	0	79676
snippy_ERR4783391	3931794	3673825	214289	1958	1633	0	42047
snippy_ERR4783394	3931794	3298680	457689	8832	59459	0	115966
snippy_ERR4783401	3931794	3290042	560168	8563	2345	0	79239
snippy_ERR4783411	3931794	3252469	600025	8556	1928	0	77372
snippy_ERR4783413	3931794	3578271	206872	3034	51506	0	95145
snippy_ERR4783415	3931794	3585787	202991	2808	45380	0	97636
snippy_ERR4783417	3931794	3570766	232763	3987	51117	0	77148
snippy_ERR4783419	3931794	3293960	558445	5849	2062	0	77327
snippy_ERR4783518	3931794	3291682	558000	5851	2316	0	79796
snippy_ERR4919979	3931794	3206869	618286	7521	1243	0	105396
snippy_ERR4919980	3931794	3303183	519972	5086	437	0	108202
snippy_ERR4919981	3931794	3303683	519989	5061	537	0	107585
snippy_ERR4919983	3931794	3326736	503281	5049	494	0	101283
snippy_ERR4919984	3931794	3340888	497269	5047	527	0	93110
snippy_ERR4919985	3931794	3333805	499402	5040	559	0	98028
snippy_ERR4919991	3931794	3647009	227257	794	509	0	57019
snippy_ERR4919992	3931794	3083519	772230	7592	491	0	75554
snippy_ERR4919993	3931794	3218628	612341	7432	1926	0	98899
snippy_ERR4920008	3931794	3339212	527163	7441	826	0	64593
snippy_ERR4920011	3931794	3300479	526898	4968	572	0	103845
snippy_ERR4920012	3931794	3170941	666410	5454	469	0	93974
snippy_ERR4920013	3931794	3196223	651289	5439	611	0	83671
snippy_ERR4999559	3931794	3365379	505277	7256	298	0	60840
snippy_ERR4999560	3931794	3384750	463444	4921	895	0	82705
snippy_ERR4999561	3931794	3296658	555486	4899	496	0	79154
snippy_ERR4999562	3931794	3293183	559795	4911	506	0	78310
snippy_ERR4999563	3931794	3294889	564737	7265	670	0	71498
snippy_ERR4999564	3931794	3376874	491074	7194	619	0	63227
snippy_ERR4999566	3931794	3301529	560240	7268	667	0	69358
snippy_ERR4999567	3931794	3297637	555237	4886	496	0	78424
snippy_ERR4999568	3931794	3305330	558595	7264	763	0	67106
snippy_ERR4999569	3931794	3702423	195224	830	884	0	33263
snippy_ERR4999570	3931794	3396817	458543	7240	757	0	75677
snippy_ERR4999571	3931794	3624528	258389	838	1402	0	47475
snippy_ERR4999572	3931794	3650799	244847	841	1389	0	34759
snippy_ERR4999574	3931794	3301602	535112	7150	633	0	94447
snippy_ERR4999575	3931794	3395744	458217	7218	667	0	77166
snippy_ERR4999577	3931794	3396392	458758	7212	649	0	75995
snippy_ERR5000113	3931794	3305570	558855	7209	715	0	66654
snippy_ERR5000114	3931794	3648008	245849	840	1582	0	36355
snippy_ERR5000123	3931794	3366345	476469	7110	729	0	88251
snippy_ERR5000189	3931794	3586655	308147	649	521	0	36471
snippy_ERR5000190	3931794	3583679	295485	879	158	0	52472
snippy_ERR5000204	3931794	3361999	479448	7182	747	0	89600
snippy_ERR5205865	3931794	3648357	245345	853	536	0	37556
snippy_ERR5205866	3931794	3654081	243813	866	1685	0	32215
snippy_ERR5205867	3931794	3411855	450270	7159	947	0	68722
snippy_ERR5205868	3931794	3652714	244452	866	1642	0	32986
snippy_ERR5205869	3931794	3668200	233251	851	579	0	29764
snippy_ERR5205871	3931794	3675492	228774	950	214	0	27314
snippy_ERR6938061	3931794	3423943	430642	6872	1515	0	75694
snippy_ERR6938074	3931794	3009171	855670	6341	694	0	66259
snippy_ERR6938077	3931794	3326087	527228	4710	460	0	78019
snippy_ERR6938084	3931794	3222951	641645	7721	624	0	66574
snippy_ERR6938087	3931794	3229278	638012	5302	548	0	63956
snippy_ERR6938090	3931794	3423711	431537	6817	1509	0	75037
snippy_ERR6938093	3931794	3009196	855659	6323	716	0	66223
snippy_ERR6938096	3931794	3325298	535254	6503	1590	0	69652
snippy_ERR6938099	3931794	3561542	339303	1507	480	0	30469
snippy_ERR6938111	3931794	3373593	475526	4703	489	0	82186
snippy_ERR6938114	3931794	3423718	430924	6816	1495	0	75657
snippy_ERR6938153	3931794	3107973	727958	7176	645	0	95218
snippy_ERR6938409	3931794	3282219	568008	5510	2266	0	79301
snippy_ERR6938479	3931794	3220976	631512	7081	470	0	78836
snippy_ERR6938729	3931794	3311854	551323	7106	658	0	67959
snippy_ERR6938731	3931794	3300681	563993	7106	534	0	66586
snippy_ERR6938732	3931794	3308278	554906	7106	588	0	68022
snippy_ERR6938733	3931794	3277145	569726	5507	1943	0	82980
snippy_ERR6938734	3931794	3262754	578017	7235	1879	0	89144
snippy_ERR6938735	3931794	3263112	578065	7235	1933	0	88684
snippy_ERR6938736	3931794	3263560	578114	7235	1953	0	88167
snippy_ERR6938738	3931794	3200241	588561	5270	22848	0	120144
snippy_ERR6938739	3931794	3220860	645050	7469	366	0	65518
snippy_ERR6938740	3931794	3221398	644357	7469	435	0	65604
snippy_ERR6938741	3931794	3220252	633596	7019	749	0	77197
snippy_ERR6938743	3931794	3219842	633894	7019	762	0	77296
snippy_ERR6938745	3931794	3265768	583568	5518	1548	0	80910
snippy_ERR6938749	3931794	3265417	583343	5518	1504	0	81530
snippy_ERR6938913	3931794	2946705	914055	6121	747	0	70287
snippy_ERR6938928	3931794	3257640	600234	4583	476	0	73444
snippy_ERR6938929	3931794	3256919	600659	4583	497	0	73719
snippy_ERR6938931	3931794	3319863	534656	4631	1424	0	75851
snippy_ERR7226293	3931794	3291710	576816	6806	674	0	62594
snippy_ERR7226295	3931794	3044353	827798	6106	654	0	58989
snippy_ERR7226554	3931794	3293233	562933	4567	519	0	75109
snippy_ERR7226556	3931794	3293161	562743	4567	493	0	75397
snippy_ERR7226586	3931794	3366754	502219	6782	639	0	62182
snippy_ERR7226588	3931794	3031475	833307	6149	434	0	66578
snippy_ERR7226590	3931794	3681827	214294	825	1408	0	34265
snippy_ERR7226592	3931794	3682527	213980	825	1397	0	33890
snippy_ERR7226594	3931794	3681788	214449	825	1436	0	34121
snippy_ERR7226612	3931794	3633659	262680	1394	577	0	34878
snippy_ERR7226614	3931794	3275141	588704	7537	555	0	67394
snippy_ERR7226616	3931794	3314024	546585	6840	737	0	70448
snippy_ERR7226618	3931794	3349758	529710	6879	442	0	51884
snippy_ERR7226620	3931794	3366882	500752	6739	659	0	63501
snippy_ERR7226622	3931794	3366349	501409	6739	649	0	63387
snippy_ERR7226626	3931794	3265780	593502	5074	529	0	71983
snippy_ERR7226644	3931794	3185839	685763	7061	244	0	59948
snippy_ERR7226646	3931794	3231706	634087	5069	721	0	65280
snippy_ERR7226648	3931794	3299975	574255	6693	411	0	57153
snippy_ERR7226650	3931794	3070832	790988	6882	411	0	69563
snippy_ERR7226654	3931794	3270417	588927	5051	717	0	71733
snippy_ERR7226656	3931794	3292438	576768	6709	678	0	61910
snippy_ERR7226658	3931794	3291301	577709	6709	697	0	62087
snippy_ERR7226676	3931794	3265002	584059	5426	1513	0	81220
snippy_ERR7226678	3931794	3291058	577801	6709	621	0	62314
snippy_ERR7226680	3931794	3321051	555345	6794	268	0	55130
snippy_ERR7226688	3931794	3151013	703118	7123	798	0	76865
snippy_ERR7226690	3931794	3151815	702363	7123	872	0	76744
snippy_ERR8024946	3931794	3053234	800482	6003	778	0	77300
snippy_ERR8024947	3931794	3210569	628956	6781	774	0	91495
snippy_ERR8024950	3931794	3208348	633625	6778	909	0	88912
snippy_ERR8024951	3931794	3213996	630174	6778	913	0	86711
snippy_ERR8024959	3931794	3072455	772855	6824	610	0	85874
snippy_SRR10583096	3931794	3167892	677562	6719	420	0	85920
snippy_SRR11514880	3931794	3285927	562659	5999	1023	0	82185
snippy_SRR11589174	3931794	3678897	226522	811	281	0	26094
snippy_SRR11589267	3931794	3244960	615553	6647	384	0	70897
snippy_SRR12905336	3931794	3296166	563795	6608	736	0	71097
snippy_SRR12905337	3931794	3301646	535106	6560	612	0	94430
snippy_SRR12905338	3931794	3625219	257755	796	1425	0	47395
snippy_SRR12905341	3931794	3581139	298210	835	158	0	52287
snippy_SRR13327178	3931794	3694858	179652	838	1403	0	55881
snippy_SRR13327179	3931794	3669138	191969	831	1500	0	69187
snippy_SRR13327181	3931794	3271474	567776	4411	447	0	92097
snippy_SRR13327185	3931794	3263215	575249	4413	442	0	92888
snippy_SRR13327186	3931794	3663662	209130	816	997	0	58005
snippy_SRR13327187	3931794	3297262	557165	4408	471	0	76896
snippy_SRR13327189	3931794	3290443	562005	4414	497	0	78849
snippy_SRR13327190	3931794	3283560	563135	4406	500	0	84599
snippy_SRR13327191	3931794	3279656	572206	4422	442	0	79490
snippy_SRR13327192	3931794	3361838	496751	6819	669	0	72536
snippy_SRR13327193	3931794	3733904	167746	802	394	0	29750
snippy_SRR13327194	3931794	3324379	516738	6783	625	0	90052
snippy_SRR13327196	3931794	3560288	307309	808	1098	0	63099
snippy_SRR13327198	3931794	3293235	557588	4382	452	0	80519
snippy_SRR13327199	3931794	3666057	226479	1676	326	0	38932
snippy_SRR13327200	3931794	3291547	560530	4374	512	0	79205
snippy_SRR13327201	3931794	3279251	565380	4382	513	0	86650
snippy_SRR13327203	3931794	3245648	584311	4390	408	0	101427
snippy_SRR13327204	3931794	3255338	578907	4380	501	0	97048
snippy_SRR13327205	3931794	3654009	207757	814	1025	0	69003
snippy_SRR13327206	3931794	3272735	564287	4356	485	0	94287
snippy_SRR13327207	3931794	3244790	585648	4343	379	0	100977
snippy_SRR13401434	3931794	3524254	282143	744	350	0	125047
snippy_SRR13430624	3931794	3257271	476438	872	316	0	197769
snippy_SRR13430625	3931794	3596248	241908	764	881	0	92757
snippy_SRR13430626	3931794	3030592	699208	6114	657	0	201337
snippy_SRR13430627	3931794	3069668	686728	4549	1245	0	174153
snippy_SRR14100602	3931794	2988859	746520	4447	1310	0	195105
snippy_SRR14101519	3931794	2881674	842577	6006	495	0	207048
snippy_SRR14101547	3931794	3091172	697494	3783	720	0	142408
snippy_SRR14101709	3931794	3456119	320587	743	674	0	154414
snippy_SRR14101949	3931794	3165986	654419	3774	824	0	110565
snippy_SRR14102219	3931794	3620127	212953	632	344	0	98370
snippy_SRR14102306	3931794	3704875	163424	633	305	0	63190
snippy_SRR14102521	3931794	3208183	602810	4295	1731	0	119070
snippy_SRR14116705	3931794	2832200	860407	4077	494	0	238693
snippy_SRR14116736	3931794	3457740	355364	1274	549	0	118141
snippy_SRR14280111	3931794	3175730	692103	5812	356	0	63605
snippy_SRR14455652	3931794	3353162	500899	3447	544	0	77189
snippy_SRR17931033	3931794	3721923	172972	669	591	0	36308
snippy_SRR17931048	3931794	3367072	490542	5108	841	0	73339
snippy_SRR17931144	3931794	3325316	527449	3546	518	0	78511
snippy_SRR17931145	3931794	3320826	531334	3539	605	0	79029
snippy_SRR18114233	3931794	3353042	500429	3446	512	0	77811
snippy_SRR19107616	3931794	3360516	489079	3448	897	0	81302
snippy_SRR25445074	3931794	3701626	198703	715	147	0	31318
snippy_SRR25445075	3931794	3701898	198451	715	188	0	31257
snippy_SRR25445076	3931794	3701930	198471	715	177	0	31216
snippy_SRR25445077	3931794	3645129	257754	704	61	0	28850
snippy_SRR25445078	3931794	3683706	216700	487	595	0	30793
snippy_SRR25445079	3931794	3729426	169890	487	653	0	31825
snippy_SRR25445080	3931794	3713943	186157	487	569	0	31125
snippy_SRR25445081	3931794	3719456	180404	487	650	0	31284
snippy_SRR25445082	3931794	3729941	169704	487	525	0	31624
snippy_SRR25445083	3931794	3262439	590142	4052	2138	0	77075
snippy_SRR25445084	3931794	3724422	175283	487	659	0	31430
snippy_SRR25445085	3931794	3729852	169828	487	570	0	31544
snippy_SRR25445086	3931794	3665548	236112	487	567	0	29567
snippy_SRR25445087	3931794	3698926	201317	487	561	0	30990
snippy_SRR25445088	3931794	3681032	218332	487	440	0	31990
snippy_SRR25445089	3931794	3730731	169674	487	556	0	30833
snippy_SRR25445090	3931794	3729869	169857	486	556	0	31512
snippy_SRR25445091	3931794	3729096	171212	486	511	0	30975
snippy_SRR25445092	3931794	3730573	169770	486	622	0	30829
snippy_SRR25445093	3931794	3664914	236319	487	633	0	29928
snippy_SRR25445094	3931794	3293298	560377	4051	2127	0	75992
snippy_SRR25445095	3931794	3690589	209066	487	405	0	31734
snippy_SRR25445096	3931794	3730129	169623	486	656	0	31386
snippy_SRR25445097	3931794	3730188	170001	486	662	0	30943
snippy_SRR25445098	3931794	3698444	202419	486	597	0	30334
snippy_SRR25445099	3931794	3730786	169889	486	493	0	30626
snippy_SRR25445100	3931794	3730071	170028	486	580	0	31115
snippy_SRR25445101	3931794	3730323	169901	486	676	0	30894
snippy_SRR25445102	3931794	3678540	224053	486	577	0	28624
snippy_SRR25445103	3931794	3730668	169677	487	616	0	30833
snippy_SRR25445104	3931794	3730861	169851	487	539	0	30543
snippy_SRR25445105	3931794	3254892	596627	4050	2151	0	78124
snippy_SRR25445106	3931794	3730473	170046	487	603	0	30672
snippy_SRR25445107	3931794	3706430	194225	487	577	0	30562
snippy_SRR25445108	3931794	3730114	170235	487	601	0	30844
snippy_SRR25445109	3931794	3683836	215456	487	390	0	32112
snippy_SRR25445110	3931794	3729723	169997	487	588	0	31486
snippy_SRR25445111	3931794	3715434	185149	487	587	0	30624
snippy_SRR25445112	3931794	3729192	170423	486	544	0	31635
snippy_SRR25445113	3931794	3617695	282868	486	427	0	30804
snippy_SRR25445114	3931794	3702089	197403	487	610	0	31692
snippy_SRR25445115	3931794	3695757	203978	486	708	0	31351
snippy_SRR25445116	3931794	3291705	560756	4046	2020	0	77313
snippy_SRR25445117	3931794	3613610	285750	486	530	0	31904
snippy_SRR25445118	3931794	3687559	213077	486	508	0	30650
snippy_SRR25445119	3931794	3709588	188898	485	570	0	32738
snippy_SRR25445120	3931794	3754059	146093	698	956	0	30686
snippy_SRR25445121	3931794	3754379	145827	698	873	0	30715
snippy_SRR25445122	3931794	3754825	145536	698	824	0	30609
snippy_SRR25445123	3931794	3754509	146203	698	908	0	30174
snippy_SRR25445124	3931794	3754163	146035	698	881	0	30715
snippy_SRR25445125	3931794	3754455	146211	697	912	0	30216
snippy_SRR25445126	3931794	3755243	146064	698	821	0	29666
snippy_SRR25445127	3931794	3234451	619013	4022	1972	0	76358
snippy_SRR25445128	3931794	3292891	559855	4022	2130	0	76918
snippy_SRR28167554	3931794	3356620	491513	3406	639	0	83022
snippy_SRR28167555	3931794	3356146	491950	3406	614	0	83084
snippy_SRR28167556	3931794	3356086	492147	3406	652	0	82909
snippy_SRR28167557	3931794	2989074	873439	4351	619	0	68662
snippy_SRR28167558	3931794	3070444	793194	5091	741	0	67415
snippy_SRR28167559	3931794	3356442	492024	3379	640	0	82688
snippy_SRR28167560	3931794	3356336	492021	3379	684	0	82753
snippy_SRR28167561	3931794	3355691	492966	3382	664	0	82473
snippy_SRR28167562	3931794	3356017	491770	3379	586	0	83421
snippy_SRR28167563	3931794	3275892	599881	4887	313	0	55708
snippy_SRR28167564	3931794	3356699	491925	3378	632	0	82538
snippy_SRR28167565	3931794	3352964	499654	3378	596	0	78580
snippy_SRR28167566	3931794	3355306	492853	3378	633	0	83002
snippy_SRR28167567	3931794	3355510	493241	3376	671	0	82372
snippy_SRR28167569	3931794	3319037	563370	5060	563	0	48824
snippy_SRR28167570	3931794	3345881	503940	3378	601	0	81372
snippy_SRR28167571	3931794	3355501	493120	3376	642	0	82531
snippy_SRR28167572	3931794	3356634	491891	3378	643	0	82626
snippy_SRR28167573	3931794	3356075	491859	3376	732	0	83128
snippy_SRR28167574	3931794	3356069	492348	3376	682	0	82695
snippy_SRR28167575	3931794	3347000	502446	3378	623	0	81725
snippy_SRR28167576	3931794	3355615	493225	3378	623	0	82331
snippy_SRR28167577	3931794	3308816	561036	5100	358	0	61584
snippy_SRR28167578	3931794	3356325	491855	3374	655	0	82959
snippy_SRR28167579	3931794	3356410	491883	3374	662	0	82839
snippy_SRR28167581	3931794	3356300	491807	3374	626	0	83061
snippy_SRR28167582	3931794	3356487	491827	3374	663	0	82817
snippy_SRR28167584	3931794	2989509	873306	4336	562	0	68417
snippy_SRR28824822	3931794	3362130	482271	3508	472	0	86921
snippy_SRR8618098	3931794	3250915	597725	3805	414	0	82740
snippy_SRR8618099	3931794	3262538	593424	3793	466	0	75366
snippy_SRR9017260	3931794	3217519	655507	3838	417	0	58351
Reference	3931794	3931601	0	0	0	0	193
