All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly     # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  GC (%)  N50     N90     auN       L50  L90   # N's per 100 kbp
ERR10783153  83                   79                      60                      50                       44                       32                       3945166                 3942131                    3901853                    3836568                     3754959                     3288101                     83         231089          3945166       39.00   112965  40751   106148.6  14   38    5.04             
ERR10783156  67                   56                      39                      31                       27                       20                       3953858                 3946686                    3907023                    3852564                     3772780                     3533925                     67         390483          3953858       38.99   204667  49716   205749.2  7    21    5.46             
ERR10783159  179                  163                     117                     87                       49                       21                       3887857                 3875589                    3753098                    3528211                     2879534                     1924696                     179        162737          3887857       38.89   45638   10344   63696.5   22   85    5.66             
ERR10783163  292                  285                     204                     135                      51                       6                        3911576                 3905775                    3689113                    3188209                     1907245                     382104                      292        82087           3911576       38.99   24951   6738    26629.3   53   175   1.79             
ERR10783166  37                   32                      27                      23                       22                       18                       4007712                 4004028                    3994801                    3968749                     3954587                     3827190                     37         891532          4007712       38.77   282655  62468   390899.3  4    15    7.39             
ERR10783178  72                   64                      52                      43                       37                       28                       4300746                 4295036                    4268284                    4208395                     4093154                     3798528                     72         340253          4300746       38.96   143421  40352   156501.2  11   30    9.25             
ERR10787957  253                  220                     156                     106                      43                       12                       3715997                 3692099                    3503609                    3130730                     2055072                     984639                      253        159615          3715997       38.98   29336   7566    41543.7   36   130   9.55             
ERR10787959  128                  113                     76                      59                       42                       27                       3796168                 3785375                    3694598                    3572583                     3263269                     2702138                     128        293527          3796168       38.85   77602   20087   97523.0   15   49    5.14             
ERR10787961  192                  180                     139                     112                      58                       20                       4293477                 4284935                    4164450                    3969348                     3064611                     1707897                     192        157975          4293477       38.96   42976   11739   53579.7   30   103   12.67            
ERR10788033  96                   87                      67                      55                       43                       26                       4174545                 4168599                    4117324                    4025085                     3801297                     3196080                     96         346618          4174545       39.00   98919   25285   142405.8  11   42    3.35             
ERR10788115  33                   30                      22                      20                       16                       11                       3883814                 3881410                    3863294                    3852226                     3795992                     3608584                     33         957595          3883814       38.92   367830  118928  459460.5  4    10    5.12             
ERR10788118  97                   89                      62                      54                       39                       26                       3618030                 3612242                    3547464                    3489958                     3234862                     2806609                     97         251165          3618030       39.07   101138  24292   108718.3  12   40    2.65             
ERR10788121  282                  258                     187                     127                      49                       8                        3958732                 3941764                    3741014                    3300641                     2118564                     639941                      282        127143          3958732       39.13   27732   7061    33926.0   44   159   30.64            
ERR10794274  176                  165                     130                     94                       56                       22                       4310030                 4302460                    4209778                    3956043                     3358727                     2205965                     176        348004          4310030       38.85   52227   12043   88830.6   21   88    8.07             
ERR10794308  68                   60                      47                      40                       35                       28                       4300977                 4295267                    4261035                    4212249                     4109189                     3887527                     68         340514          4300977       38.96   155948  50880   160803.0  10   28    13.79            
ERR10794316  57                   47                      34                      26                       22                       17                       3953945                 3946919                    3917284                    3862297                     3782321                     3615234                     57         424277          3953945       38.99   276577  75910   245161.4  6    16    5.03             
ERR10794327  65                   56                      43                      37                       32                       23                       4189802                 4182852                    4150385                    4106264                     4013484                     3698190                     65         618609          4189802       39.01   193584  40929   233282.5  7    25    4.75             
ERR10802836  283                  245                     168                     115                      50                       12                       3772831                 3745228                    3540817                    3155101                     2096670                     811515                      283        105833          3772831       38.98   27842   6949    32963.5   43   145   68.07            
ERR10802837  329                  290                     191                     133                      50                       9                        3907181                 3879469                    3627983                    3214877                     1895105                     534286                      329        76501           3907181       38.90   23184   5917    26920.7   53   172   53.47            
ERR10805899  163                  143                     104                     81                       51                       25                       3652008                 3638013                    3537520                    3370076                     2881446                     1966608                     163        125671          3652008       39.02   52211   13788   57702.2   23   74    5.39             
ERR10808103  404                  379                     216                     120                      32                       7                        3912910                 3894474                    3442844                    2753590                     1362179                     462777                      404        85605           3912910       38.98   17207   4508    24350.0   61   233   9.02             
ERR10808115  236                  219                     159                     122                      46                       11                       3600835                 3588335                    3420318                    3145185                     1926415                     751284                      236        100722          3600835       39.09   26210   8382    33080.8   42   133   60.96            
ERR10808136  52                   46                      32                      27                       23                       18                       3902274                 3898158                    3867467                    3838673                     3779774                     3615600                     52         390858          3902274       38.97   217523  76600   230375.0  7    17    2.49             
ERR10809417  78                   69                      53                      45                       38                       28                       3951168                 3945088                    3909662                    3858133                     3750773                     3378496                     78         274825          3951168       39.01   118997  40666   136257.1  11   33    7.44             
ERR10809418  102                  93                      75                      60                       44                       28                       3605659                 3598187                    3552229                    3448421                     3168742                     2612124                     102        254218          3605659       39.10   75445   21582   92076.4   16   48    0.55             
ERR10812834  95                   84                      72                      59                       44                       25                       3686883                 3678029                    3652080                    3561172                     3311399                     2581504                     95         283200          3686883       38.98   96790   23580   101743.4  13   45    5.34             
ERR10812835  373                  338                     218                     144                      46                       6                        4135167                 4111349                    3778437                    3246084                     1653861                     353310                      373        69989           4135167       38.95   20435   5383    23525.9   65   208   77.24            
ERR10812836  334                  298                     210                     142                      38                       7                        4139635                 4113753                    3882165                    3378704                     1628045                     510752                      334        112062          4139635       38.95   20276   6834    28349.1   58   184   134.99           
ERR10812837  261                  252                     170                     120                      45                       13                       3836454                 3829814                    3598553                    3246504                     2047531                     920970                      261        101010          3836454       38.90   27023   6864    34736.3   41   145   0.26             
ERR10812838  216                  199                     134                     92                       40                       20                       3877475                 3864891                    3693978                    3407303                     2504051                     1845701                     216        212555          3877475       38.91   40095   7910    64029.9   23   102   5.42             
ERR10812839  300                  279                     206                     130                      47                       13                       4255107                 4240114                    4036860                    3467516                     2068788                     906546                      300        95262           4255107       38.91   24014   6949    32456.5   50   172   51.26            
ERR10812840  305                  273                     199                     128                      38                       10                       3895884                 3874449                    3681655                    3162540                     1672988                     707021                      305        129993          3895884       38.85   23052   6704    30906.8   50   170   69.15            
ERR10812841  38                   31                      30                      25                       22                       19                       3929345                 3924674                    3923587                    3882944                     3845622                     3733909                     38         481619          3929345       38.83   223046  79975   250482.3  6    16    7.61             
ERR10812867  58                   44                      30                      23                       19                       15                       3915081                 3905645                    3873189                    3827388                     3744735                     3617548                     58         683129          3915081       39.00   286426  75910   330209.0  5    14    7.48             
ERR10812868  119                  107                     84                      70                       46                       24                       3703157                 3695226                    3646653                    3548638                     3119384                     2284083                     119        314348          3703157       39.03   66082   20085   90886.6   17   56    5.32             
ERR10812869  116                  105                     81                      61                       46                       25                       3694300                 3685727                    3627361                    3492130                     3212886                     2477848                     116        353078          3694300       39.02   70809   21407   100355.7  15   51    5.28             
ERR10812870  153                  134                     97                      76                       50                       27                       3647387                 3633985                    3539454                    3384113                     2968199                     2125717                     153        125671          3647387       39.01   53980   14291   61134.1   22   68    2.69             
ERR10812871  48                   41                      35                      31                       27                       21                       4023913                 4019049                    4007789                    3977202                     3920474                     3697226                     48         535493          4023913       39.02   207754  51626   272143.7  6    20    7.38             
ERR10812872  264                  248                     167                     115                      52                       15                       3989991                 3977347                    3774817                    3377642                     2371712                     1097071                     264        136347          3989991       38.79   31977   7866    38781.6   39   139   49.90            
ERR10812873  323                  315                     198                     122                      39                       7                        3798290                 3791574                    3470263                    2903558                     1622068                     502178                      323        102142          3798290       39.15   19803   5706    27865.5   52   189   0.00             
ERR10820997  238                  229                     167                     116                      53                       11                       3929795                 3922984                    3747021                    3383440                     2360167                     865535                      238        116965          3929795       38.98   30577   7602    38593.7   39   134   2.04             
ERR10852925  173                  156                     109                     82                       48                       22                       3435936                 3423708                    3308069                    3120591                     2543864                     1580965                     173        129148          3435936       38.94   47598   10404   51038.4   25   80    0.29             
ERR10852926  70                   67                      59                      49                       35                       23                       3927358                 3925114                    3906063                    3823440                     3586757                     3121183                     70         350735          3927358       38.83   115497  31577   164911.5  9    33    9.09             
ERR10852929  27                   22                      19                      17                       17                       12                       4001121                 3997808                    3991584                    3979885                     3979885                     3817899                     27         891604          4001121       38.76   461870  143259  486675.7  4    9     2.50             
ERR10852931  283                  113                     72                      55                       41                       26                       3984560                 3880722                    3793718                    3677353                     3431838                     2875013                     283        358691          3984560       38.70   86793   17754   112781.0  14   48    5.72             
ERR10852932  214                  171                     119                     88                       53                       14                       3639048                 3607680                    3466004                    3238164                     2620547                     1212359                     214        148410          3639048       38.88   37428   9675    49831.1   28   92    10.39            
ERR10852933  150                  147                     120                     92                       53                       22                       3941056                 3939407                    3868928                    3662676                     3009342                     1884853                     150        159806          3941056       39.13   47736   12756   61388.5   24   82    3.04             
ERR10852935  30                   26                      23                      20                       20                       16                       3977028                 3974651                    3969567                    3953610                     3953610                     3787453                     30         491999          3977028       38.81   275554  88066   303099.3  5    14    9.73             
ERR10852936  57                   51                      42                      36                       33                       25                       4205399                 4201259                    4185188                    4145043                     4084765                     3830679                     57         352777          4205399       38.92   179154  50524   198522.2  8    25    2.38             
ERR10852938  265                  104                     75                      61                       43                       26                       3979903                 3879761                    3810101                    3718009                     3400181                     2756343                     265        359733          3979903       38.72   84355   18047   108612.8  15   52    2.76             
ERR10852993  119                  100                     76                      57                       42                       28                       3891572                 3879270                    3820117                    3697091                     3443633                     2933925                     119        359909          3891572       38.90   86793   22359   114385.1  13   45    2.78             
ERR10852995  82                   71                      55                      47                       40                       30                       3944809                 3937452                    3905789                    3850171                     3753394                     3368554                     82         274825          3944809       39.00   118080  40751   126692.9  12   35    2.51             
ERR10852996  138                  115                     93                      79                       51                       28                       3810400                 3793240                    3732113                    3630799                     3178471                     2328852                     138        194389          3810400       38.83   59579   15756   70887.5   21   64    5.25             
ERR10853648  94                   87                      71                      56                       40                       21                       3777516                 3772772                    3739088                    3628661                     3359474                     2617969                     94         267048          3777516       38.81   111443  23288   115995.9  12   42    5.51             
ERR10854234  124                  107                     81                      68                       48                       32                       3810068                 3798081                    3725480                    3621532                     3276247                     2685056                     124        215365          3810068       38.89   66561   20181   78614.2   19   55    2.52             
ERR10854472  170                  152                     110                     81                       50                       23                       3651399                 3639162                    3531697                    3325055                     2815970                     1797275                     170        125671          3651399       39.02   49883   11072   55404.5   24   78    5.48             
ERR10854473  169                  148                     108                     82                       53                       25                       3652956                 3638121                    3537871                    3349413                     2895394                     1876061                     169        125669          3652956       39.02   50832   11419   55229.3   25   77    5.48             
ERR10854474  161                  142                     102                     78                       51                       27                       3652674                 3639260                    3541756                    3368086                     2945880                     2069079                     161        125672          3652674       39.02   53058   11432   58672.8   23   71    5.39             
ERR10854475  68                   63                      50                      43                       36                       23                       3815507                 3811972                    3779891                    3739895                     3632686                     3134069                     68         302687          3815507       38.94   151161  40569   156928.5  9    30    7.78             
ERR10854476  175                  150                     109                     92                       59                       20                       3809664                 3791331                    3689237                    3562404                     3034691                     1612588                     175        153809          3809664       39.06   47594   12836   54540.3   27   81    0.00             
ERR10854480  42                   37                      29                      27                       22                       17                       3896143                 3892892                    3878074                    3867006                     3781749                     3618107                     42         390605          3896143       38.96   240112  75910   237963.6  7    16    0.26             
ERR10854483  34                   31                      25                      23                       19                       16                       3896191                 3894050                    3879848                    3868681                     3797318                     3716245                     34         684615          3896191       38.96   281379  100806  314170.7  5    14    2.49             
ERR10854484  133                  123                     89                      71                       46                       20                       3821762                 3813795                    3727469                    3593676                     3208341                     2179569                     133        275849          3821762       39.15   60087   14765   95357.4   16   59    7.72             
ERR3569448   92                   77                      54                      43                       38                       27                       4045299                 4035215                    3979151                    3897303                     3806354                     3414179                     92         506715          4045299       39.16   116471  36515   168540.7  10   33    24.30            
ERR3569449   84                   71                      48                      38                       35                       26                       4012841                 4003372                    3945952                    3872023                     3821898                     3485699                     84         506342          4012841       39.15   124312  42610   188096.6  9    29    4.91             
ERR3569450   87                   71                      48                      37                       33                       23                       4047846                 4036524                    3980503                    3902120                     3817052                     3420438                     87         506483          4047846       39.16   160550  42562   195631.4  8    28    24.41            
ERR3569451   85                   69                      46                      35                       32                       25                       4053373                 4042173                    3984753                    3904839                     3856268                     3589576                     85         506706          4053373       39.17   160598  43998   198575.6  8    27    7.38             
ERR4436595   117                  114                     92                      70                       49                       23                       3873240                 3871313                    3816133                    3654803                     3315713                     2359758                     117        223790          3873240       38.97   59365   17572   86397.2   16   58    5.68             
ERR4436596   76                   72                      53                      45                       37                       24                       3830480                 3827729                    3783990                    3726814                     3587791                     3093091                     76         302688          3830480       39.04   112964  32374   139449.6  10   33    7.73             
ERR4436597   103                  95                      67                      56                       46                       26                       3848081                 3841663                    3780951                    3703514                     3553445                     2805059                     103        293014          3848081       39.04   85557   28261   107877.8  14   43    5.07             
ERR4436754   121                  113                     88                      72                       53                       31                       3980045                 3973927                    3920181                    3806498                     3484765                     2712686                     121        168909          3980045       38.92   66122   21632   77021.2   19   58    7.31             
ERR4783167   174                  136                     102                     91                       71                       49                       7874691                 7850149                    7780843                    7696525                     7332072                     6597029                     174        436895          7874691       38.89   150526  28642   160631.2  18   62    6.26             
ERR4783172   147                  105                     84                      65                       50                       31                       4075871                 4048434                    4001331                    3864033                     3622835                     2967870                     147        195718          4075871       38.97   78938   23828   87776.6   17   52    26.30            
ERR4783180   130                  72                      54                      47                       37                       27                       4064101                 4025729                    3995667                    3940992                     3782543                     3436646                     130        301480          4064101       38.90   128362  33400   139240.6  11   33    9.62             
ERR4783186   64                   61                      45                      43                       34                       23                       4036409                 4034583                    4003973                    3985419                     3804476                     3388626                     64         462562          4036409       39.05   161441  42602   187789.6  8    29    4.91             
ERR4783188   69                   61                      47                      44                       33                       23                       4039140                 4034084                    4009725                    3986100                     3777314                     3404474                     69         462463          4039140       39.05   161384  31914   188373.1  8    29    12.13            
ERR4783194   43                   30                      25                      24                       21                       15                       4007831                 3999005                    3988392                    3982828                     3944456                     3745885                     43         770142          4007831       39.04   366322  80022   369100.5  4    13    22.18            
ERR4783195   68                   63                      47                      44                       34                       24                       4036136                 4032858                    4002610                    3978985                     3789887                     3417051                     68         462960          4036136       39.05   161384  42602   187074.9  8    29    14.59            
ERR4783200   91                   39                      32                      27                       24                       19                       3756025                 3724030                    3712945                    3680780                     3634528                     3419870                     91         445255          3756025       38.86   376554  50250   260525.2  5    19    7.83             
ERR4783203   67                   62                      46                      44                       34                       24                       4034814                 4031533                    4000981                    3982965                     3788851                     3416013                     67         462562          4034814       39.04   147019  42602   181346.9  9    29    4.88             
ERR4783208   76                   64                      56                      49                       36                       27                       4022839                 4014501                    3997680                    3943005                     3739816                     3436334                     76         308623          4022839       38.93   128362  33292   142027.8  11   32    7.36             
ERR4783214   72                   55                      39                      36                       32                       25                       3928034                 3917914                    3878261                    3860519                     3800281                     3551232                     72         607039          3928034       39.10   150002  50145   223345.7  7    25    0.03             
ERR4783216   69                   63                      47                      44                       34                       24                       4036053                 4032161                    4003484                    3979859                     3789124                     3416288                     69         463430          4036053       39.05   147019  42602   174835.2  9    29    12.09            
ERR4783222   78                   51                      42                      36                       32                       23                       4038564                 4020790                    4004225                    3961218                     3899211                     3573322                     78         355715          4038564       38.93   182176  45119   187232.8  8    25    11.98            
ERR4783223   74                   62                      45                      42                       34                       25                       4039114                 4031315                    3996171                    3969176                     3812776                     3461652                     74         462960          4039114       39.04   147019  43011   177789.0  9    29    12.18            
ERR4783228   87                   59                      45                      40                       34                       25                       3878318                 3858987                    3826537                    3789924                     3679136                     3342977                     87         347453          3878318       38.85   158611  37725   152775.8  10   29    10.13            
ERR4783231   71                   60                      47                      44                       34                       23                       4040755                 4034045                    4011004                    3987379                     3789716                     3373865                     71         462463          4040755       39.05   161384  42602   187115.5  8    29    7.33             
ERR4783239   65                   58                      44                      40                       32                       24                       4037370                 4032288                    4004114                    3970752                     3811531                     3503417                     65         462959          4037370       39.04   161441  44928   192477.8  8    27    12.11            
ERR4783244   81                   54                      40                      36                       34                       29                       3984623                 3966435                    3931614                    3899525                     3867895                     3698634                     81         317579          3984623       39.12   148259  55545   158668.1  9    27    4.94             
ERR4783250   192                  86                      46                      41                       36                       26                       4268309                 4202701                    4128606                    4087708                     4000181                     3646956                     192        301354          4268309       38.92   133230  36098   150730.2  11   31    4.69             
ERR4783252   69                   61                      46                      44                       34                       23                       4038667                 4033332                    4004098                    3985544                     3791555                     3375705                     69         462873          4038667       39.05   161384  42602   187373.6  8    29    24.24            
ERR4783258   68                   61                      44                      41                       32                       24                       4035657                 4031081                    3995838                    3968843                     3800304                     3492191                     68         462999          4035657       39.04   161384  42602   191789.9  8    28    7.33             
ERR4783259   71                   60                      42                      36                       32                       24                       4198212                 4190596                    4149740                    4104972                     4030263                     3760644                     71         395714          4198212       38.97   200360  42527   204704.2  8    25    16.44            
ERR4783264   50                   43                      34                      29                       26                       21                       3896832                 3892188                    3869235                    3836152                     3786102                     3578423                     50         578209          3896832       38.84   217044  50658   238262.2  7    20    10.01            
ERR4783385   1997                 875                     224                     95                       27                       7                        5502475                 4770240                    3217114                    2344625                     1322573                     618301                      1997       150968          5502475       39.08   6956    774     20856.1   144  1083  60.41            
ERR4783387   99                   63                      52                      45                       35                       26                       4040707                 4017812                    3995415                    3939452                     3781161                     3470763                     99         308623          4040707       38.92   137393  33292   151337.8  10   31    12.20            
ERR4783391   65                   60                      46                      43                       33                       23                       4037852                 4034558                    4010298                    3986673                     3789425                     3416587                     65         463297          4037852       39.05   161384  42602   189364.1  8    28    12.21            
ERR4783394   2325                 1012                    293                     106                      13                       2                        5830439                 4971546                    3271783                    1960304                     541756                      166031                      2325       114953          5830439       38.91   6082    721     11578.1   228  1341  23.41            
ERR4783401   146                  71                      55                      48                       37                       27                       4069045                 4023843                    3993507                    3939575                     3768293                     3425209                     146        301480          4069045       38.90   128362  32544   140223.9  11   34    7.20             
ERR4783411   88                   63                      48                      43                       36                       24                       3881439                 3864365                    3831142                    3794531                     3667601                     3213425                     88         347348          3881439       38.86   156988  37725   146045.9  10   31    7.60             
ERR4783413   2304                 1021                    269                     91                       23                       1                        5694859                 4842589                    3088705                    1911626                     887678                      90745                       2304       90745           5694859       38.92   5625    742     12056.2   224  1354  20.67            
ERR4783415   2045                 881                     240                     105                      26                       9                        5655373                 4891044                    3388992                    2497773                     1353273                     788798                      2045       137041          5655373       39.25   7213    773     22303.8   145  1108  68.87            
ERR4783417   2108                 896                     294                     114                      20                       5                        5803672                 5015992                    3598060                    2347823                     919505                      365917                      2108       100853          5803672       39.07   7264    777     14771.6   180  1133  23.64            
ERR4783419   89                   55                      42                      36                       32                       23                       4037984                 4016073                    3989440                    3945596                     3874026                     3535001                     89         347078          4037984       38.93   182178  44700   179897.8  8    26    14.54            
ERR4783518   68                   62                      54                      46                       36                       26                       4027855                 4023303                    4006482                    3942503                     3784336                     3448626                     68         308623          4027855       38.92   137143  33395   150654.2  10   31    12.12            
ERR4919979   289                  276                     184                     119                      53                       11                       3883634                 3873393                    3617070                    3141584                     2101361                     703111                      289        110084          3883634       39.18   26172   6620    30648.4   47   162   5.12             
ERR4919980   239                  226                     152                     111                      57                       19                       4040916                 4030815                    3837106                    3546768                     2663995                     1364621                     239        126361          4040916       39.28   32994   8146    41664.7   35   122   0.00             
ERR4919981   240                  227                     148                     109                      59                       20                       4061048                 4050830                    3836207                    3556797                     2766005                     1504605                     240        121804          4061048       39.25   33088   8414    44926.7   34   120   0.25             
ERR4919983   207                  193                     141                     106                      60                       21                       4085498                 4074433                    3937824                    3695996                     2942667                     1692908                     207        215050          4085498       39.17   34777   10326   53402.7   30   105   2.45             
ERR4919984   153                  143                     105                     89                       57                       28                       4075284                 4068453                    3968737                    3852455                     3308883                     2338732                     153        222653          4075284       39.17   61147   15519   68481.5   23   75    0.49             
ERR4919985   175                  166                     118                     93                       50                       28                       4100961                 4094322                    3969541                    3795823                     3066895                     2345058                     175        186041          4100961       39.12   57648   13033   63859.8   23   85    0.00             
ERR4919991   193                  184                     134                     102                      52                       21                       3870996                 3864631                    3744341                    3507817                     2681644                     1660390                     193        171473          3870996       39.05   38218   10304   51063.4   28   100   5.17             
ERR4919992   90                   86                      74                      67                       48                       28                       3540115                 3537046                    3512473                    3462516                     3159209                     2511971                     90         186300          3540115       38.87   70856   24030   81641.6   16   50    0.28             
ERR4919993   146                  136                     107                     84                       57                       25                       3901026                 3894198                    3820488                    3647293                     3184679                     2021951                     146        158541          3901026       39.02   51153   15437   60256.2   24   74    0.00             
ERR4920008   115                  106                     85                      69                       48                       26                       3982841                 3976883                    3923116                    3803186                     3433645                     2659546                     115        205182          3982841       39.10   81019   20723   88545.7   17   55    5.02             
ERR4920011   253                  240                     160                     112                      59                       18                       3986311                 3976286                    3769094                    3428385                     2579129                     1166845                     253        81426           3986311       39.39   33072   8119    36516.0   39   131   2.68             
ERR4920012   267                  255                     170                     121                      46                       15                       3830854                 3822462                    3596771                    3255162                     1993843                     967243                      267        134555          3830854       39.26   26704   6589    33918.6   44   144   8.07             
ERR4920013   210                  199                     130                     98                       50                       17                       3860966                 3853387                    3676030                    3445415                     2628830                     1531631                     210        211991          3860966       39.16   33835   9499    58242.0   27   102   2.51             
ERR4999559   34                   32                      22                      19                       16                       13                       3970963                 3969364                    3945082                    3922672                     3878306                     3771044                     34         911120          3970963       38.90   391429  88746   441587.3  4    11    2.47             
ERR4999560   73                   59                      37                      33                       23                       18                       4152712                 4141970                    4089908                    4061093                     3915691                     3710257                     73         429038          4152712       38.97   304798  49653   250341.9  6    19    4.79             
ERR4999561   51                   42                      30                      24                       22                       19                       3976831                 3970880                    3944278                    3897628                     3869834                     3760707                     51         1056466         3976831       38.97   369555  61145   462206.3  4    16    4.95             
ERR4999562   52                   44                      30                      25                       22                       19                       3971529                 3966253                    3934407                    3892194                     3853968                     3744842                     52         730342          3971529       38.99   319736  61146   343945.6  5    17    7.55             
ERR4999563   114                  107                     88                      67                       52                       29                       4249442                 4243916                    4197639                    4035467                     3797060                     2987215                     114        266810          4249442       38.78   76680   22388   101026.7  16   54    4.54             
ERR4999564   42                   39                      29                      26                       21                       15                       3968285                 3965760                    3944800                    3924233                     3852217                     3646221                     42         420229          3968285       38.89   329828  62695   286877.5  6    14    2.52             
ERR4999566   59                   55                      48                      42                       37                       30                       4252408                 4249376                    4235126                    4193007                     4134455                     3902545                     59         530315          4252408       38.74   165750  55545   189660.9  9    29    13.97            
ERR4999567   51                   41                      27                      23                       21                       18                       3977547                 3970467                    3938621                    3905116                     3877323                     3768147                     51         1056457         3977547       38.98   369555  65135   466168.3  4    15    2.51             
ERR4999568   50                   46                      39                      34                       31                       25                       4257355                 4254415                    4242829                    4206499                     4172778                     3965636                     50         580080          4257355       38.74   209998  55843   234395.5  7    23    4.67             
ERR4999569   69                   61                      43                      39                       32                       23                       3924874                 3919769                    3877369                    3848218                     3743556                     3411285                     69         292953          3924874       38.95   164777  44553   161537.7  9    26    12.56            
ERR4999570   95                   80                      50                      43                       29                       24                       4292494                 4281831                    4217624                    4168993                     3957749                     3775968                     95         467548          4292494       38.85   168069  43966   205890.6  8    26    9.30             
ERR4999571   168                  154                     104                     76                       49                       28                       3984387                 3975424                    3862821                    3649743                     3201847                     2499449                     168        183530          3984387       39.15   63787   12627   73360.9   20   71    0.00             
ERR4999572   104                  88                      50                      43                       32                       26                       4031290                 4020422                    3927114                    3867873                     3674235                     3447954                     104        399358          4031290       39.10   136369  30236   168560.8  9    31    7.42             
