Name,Protein identifier,Contig id,Start,Stop,Strand,Gene symbol,Sequence name,Scope,Element type,Element subtype,Class,Subclass,Method,Target length,Reference sequence length,% Coverage of reference sequence,% Identity to reference sequence,Alignment length,Accession of closest sequence,Name of closest sequence,HMM id,HMM description
ERR10710700,NA,NODE_52_length_1128_cov_60.465500,152,964,-,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,core,AMR,AMR,AMINOGLYCOSIDE,KANAMYCIN,EXACTX,271,271,100.00,100.00,271,WP_000018326.1,aminoglycoside O-phosphotransferase APH(3')-Ia,NA,NA
ERR10710700,NA,NODE_7_length_196738_cov_57.687417,81106,81915,+,blaNDM-1,subclass B1 metallo-beta-lactamase NDM-1,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,ALLELEX,270,270,100.00,100.00,270,WP_004201164.1,subclass B1 metallo-beta-lactamase NDM-1,NA,NA
ERR10710700,NA,NODE_7_length_196738_cov_57.687417,81922,82284,+,ble,bleomycin binding protein Ble-MBL,core,AMR,AMR,BLEOMYCIN,BLEOMYCIN,EXACTX,121,121,100.00,100.00,121,WP_004201167.1,bleomycin binding protein Ble-MBL,NA,NA
ERR10710702,NA,NODE_15_length_88054_cov_39.590336,34685,35470,-,ant(3'')-IIa,aminoglycoside nucleotidyltransferase ANT(3'')-IIa,core,AMR,AMR,AMINOGLYCOSIDE,SPECTINOMYCIN/STREPTOMYCIN,EXACTX,262,262,100.00,100.00,262,WP_001279062.1,aminoglycoside nucleotidyltransferase ANT(3'')-IIa,NA,NA
ERR10710702,NA,NODE_1_length_430272_cov_37.744872,425072,425872,+,aph(3'')-Ib,aminoglycoside O-phosphotransferase APH(3'')-Ib,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,267,267,100.00,100.00,267,WP_001082319.1,aminoglycoside O-phosphotransferase APH(3'')-Ib,NA,NA
ERR10710702,NA,NODE_1_length_430272_cov_37.744872,425875,426708,+,aph(6)-Id,aminoglycoside O-phosphotransferase APH(6)-Id,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,278,278,100.00,100.00,278,WP_000480968.1,aminoglycoside O-phosphotransferase APH(6)-Id,NA,NA
ERR10710702,NA,NODE_1_length_430272_cov_37.744872,429327,430139,-,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,271,271,100.00,100.00,271,WP_001043260.1,sulfonamide-resistant dihydropteroate synthase Sul2,NA,NA
ERR10710702,NA,NODE_23_length_60590_cov_37.262403,6471,7292,-,blaOXA-66,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,ALLELEX,274,274,100.00,100.00,274,WP_001021792.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66,NA,NA
ERR10710702,NA,NODE_37_length_14082_cov_32.093042,1077,1628,+,aac(6')-Ib',aminoglycoside N-acetyltransferase AAC(6')-Ib',core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,EXACTX,184,184,100.00,100.00,184,WP_014454105.1,aminoglycoside N-acetyltransferase AAC(6')-Ib',NA,NA
ERR10710702,NA,NODE_37_length_14082_cov_32.093042,1724,2353,+,catB8,type B-3 chloramphenicol O-acetyltransferase CatB8,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,EXACTX,210,210,100.00,100.00,210,WP_002075262.1,type B-3 chloramphenicol O-acetyltransferase CatB8,NA,NA
ERR10710702,NA,NODE_37_length_14082_cov_32.093042,2414,3202,+,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,263,263,100.00,100.00,263,WP_001206316.1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,NA,NA
ERR10710702,NA,NODE_37_length_14082_cov_32.093042,3369,3713,+,qacEdelta1,quaternary ammonium compound efflux SMR transporter QacE delta 1,core,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,ALLELEX,115,115,100.00,100.00,115,WP_000679427.1,quaternary ammonium compound efflux SMR transporter QacE delta 1,NA,NA
ERR10710702,NA,NODE_37_length_14082_cov_32.093042,3710,4546,+,sul1,sulfonamide-resistant dihydropteroate synthase Sul1,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,279,279,100.00,100.00,279,WP_000259031.1,sulfonamide-resistant dihydropteroate synthase Sul1,NA,NA
ERR10710702,NA,NODE_37_length_14082_cov_32.093042,7894,8664,+,armA,16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,EXACTX,257,257,100.00,100.00,257,WP_000359986.1,16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA,NA,NA
ERR10710702,NA,NODE_37_length_14082_cov_32.093042,10966,12438,+,msr(E),ABC-F type ribosomal protection protein Msr(E),core,AMR,AMR,MACROLIDE/STREPTOGRAMIN,AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN,EXACTX,491,491,100.00,100.00,491,WP_000052512.1,ABC-F type ribosomal protection protein Msr(E),NA,NA
ERR10710702,NA,NODE_37_length_14082_cov_32.093042,12497,13378,+,mph(E),Mph(E) family macrolide 2'-phosphotransferase,core,AMR,AMR,MACROLIDE,ERYTHROMYCIN,EXACTX,294,294,100.00,100.00,294,WP_000155092.1,Mph(E) family macrolide 2'-phosphotransferase,NA,NA
ERR10710702,NA,NODE_3_length_290586_cov_36.064616,109,1257,+,blaADC-30,extended-spectrum class C beta-lactamase ADC-30,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,ALLELEX,383,383,100.00,100.00,383,WP_001211218.1,extended-spectrum class C beta-lactamase ADC-30,NA,NA
ERR10710702,NA,NODE_40_length_7846_cov_15.452950,192,1001,+,blaNDM-1,subclass B1 metallo-beta-lactamase NDM-1,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,ALLELEX,270,270,100.00,100.00,270,WP_004201164.1,subclass B1 metallo-beta-lactamase NDM-1,NA,NA
ERR10710702,NA,NODE_40_length_7846_cov_15.452950,1008,1370,+,ble,bleomycin binding protein Ble-MBL,core,AMR,AMR,BLEOMYCIN,BLEOMYCIN,EXACTX,121,121,100.00,100.00,121,WP_004201167.1,bleomycin binding protein Ble-MBL,NA,NA
ERR10710702,NA,NODE_46_length_2640_cov_36.622196,134,952,+,blaOXA-23,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,ALLELEX,273,273,100.00,100.00,273,WP_001046004.1,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23,NA,NA
ERR10710702,NA,NODE_51_length_1128_cov_34.723032,152,964,-,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,core,AMR,AMR,AMINOGLYCOSIDE,KANAMYCIN,EXACTX,271,271,100.00,100.00,271,WP_000018326.1,aminoglycoside O-phosphotransferase APH(3')-Ia,NA,NA
ERR10710703,NA,NODE_15_length_88054_cov_56.072037,52585,53370,+,ant(3'')-IIa,aminoglycoside nucleotidyltransferase ANT(3'')-IIa,core,AMR,AMR,AMINOGLYCOSIDE,SPECTINOMYCIN/STREPTOMYCIN,EXACTX,262,262,100.00,100.00,262,WP_001279062.1,aminoglycoside nucleotidyltransferase ANT(3'')-IIa,NA,NA
ERR10710703,NA,NODE_1_length_430371_cov_54.796303,425072,425872,+,aph(3'')-Ib,aminoglycoside O-phosphotransferase APH(3'')-Ib,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,267,267,100.00,100.00,267,WP_001082319.1,aminoglycoside O-phosphotransferase APH(3'')-Ib,NA,NA
ERR10710703,NA,NODE_1_length_430371_cov_54.796303,425875,426708,+,aph(6)-Id,aminoglycoside O-phosphotransferase APH(6)-Id,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,278,278,100.00,100.00,278,WP_000480968.1,aminoglycoside O-phosphotransferase APH(6)-Id,NA,NA
ERR10710703,NA,NODE_1_length_430371_cov_54.796303,429327,430139,-,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,271,271,100.00,100.00,271,WP_001043260.1,sulfonamide-resistant dihydropteroate synthase Sul2,NA,NA
ERR10710703,NA,NODE_22_length_60590_cov_54.003174,6471,7292,-,blaOXA-66,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,ALLELEX,274,274,100.00,100.00,274,WP_001021792.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66,NA,NA
ERR10710703,NA,NODE_39_length_14082_cov_43.844740,705,1586,-,mph(E),Mph(E) family macrolide 2'-phosphotransferase,core,AMR,AMR,MACROLIDE,ERYTHROMYCIN,EXACTX,294,294,100.00,100.00,294,WP_000155092.1,Mph(E) family macrolide 2'-phosphotransferase,NA,NA
ERR10710703,NA,NODE_39_length_14082_cov_43.844740,1645,3117,-,msr(E),ABC-F type ribosomal protection protein Msr(E),core,AMR,AMR,MACROLIDE/STREPTOGRAMIN,AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN,EXACTX,491,491,100.00,100.00,491,WP_000052512.1,ABC-F type ribosomal protection protein Msr(E),NA,NA
ERR10710703,NA,NODE_39_length_14082_cov_43.844740,5419,6189,-,armA,16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,EXACTX,257,257,100.00,100.00,257,WP_000359986.1,16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA,NA,NA
ERR10710703,NA,NODE_39_length_14082_cov_43.844740,9537,10373,-,sul1,sulfonamide-resistant dihydropteroate synthase Sul1,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,279,279,100.00,100.00,279,WP_000259031.1,sulfonamide-resistant dihydropteroate synthase Sul1,NA,NA
ERR10710703,NA,NODE_39_length_14082_cov_43.844740,10370,10714,-,qacEdelta1,quaternary ammonium compound efflux SMR transporter QacE delta 1,core,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,ALLELEX,115,115,100.00,100.00,115,WP_000679427.1,quaternary ammonium compound efflux SMR transporter QacE delta 1,NA,NA
ERR10710703,NA,NODE_39_length_14082_cov_43.844740,10881,11669,-,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,263,263,100.00,100.00,263,WP_001206316.1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,NA,NA
ERR10710703,NA,NODE_39_length_14082_cov_43.844740,11730,12359,-,catB8,type B-3 chloramphenicol O-acetyltransferase CatB8,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,EXACTX,210,210,100.00,100.00,210,WP_002075262.1,type B-3 chloramphenicol O-acetyltransferase CatB8,NA,NA
ERR10710703,NA,NODE_39_length_14082_cov_43.844740,12455,13006,-,aac(6')-Ib',aminoglycoside N-acetyltransferase AAC(6')-Ib',core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,EXACTX,184,184,100.00,100.00,184,WP_014454105.1,aminoglycoside N-acetyltransferase AAC(6')-Ib',NA,NA
ERR10710703,NA,NODE_3_length_290586_cov_53.204639,289330,290478,-,blaADC-30,extended-spectrum class C beta-lactamase ADC-30,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,ALLELEX,383,383,100.00,100.00,383,WP_001211218.1,extended-spectrum class C beta-lactamase ADC-30,NA,NA
ERR10710703,NA,NODE_42_length_8122_cov_22.481865,192,1001,+,blaNDM-1,subclass B1 metallo-beta-lactamase NDM-1,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,ALLELEX,270,270,100.00,100.00,270,WP_004201164.1,subclass B1 metallo-beta-lactamase NDM-1,NA,NA
ERR10710703,NA,NODE_42_length_8122_cov_22.481865,1008,1370,+,ble,bleomycin binding protein Ble-MBL,core,AMR,AMR,BLEOMYCIN,BLEOMYCIN,EXACTX,121,121,100.00,100.00,121,WP_004201167.1,bleomycin binding protein Ble-MBL,NA,NA
ERR10710703,NA,NODE_49_length_2445_cov_54.832940,1593,2411,-,blaOXA-23,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,ALLELEX,273,273,100.00,100.00,273,WP_001046004.1,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23,NA,NA
ERR10710703,NA,NODE_55_length_1128_cov_54.305151,152,964,-,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,core,AMR,AMR,AMINOGLYCOSIDE,KANAMYCIN,EXACTX,271,271,100.00,100.00,271,WP_000018326.1,aminoglycoside O-phosphotransferase APH(3')-Ia,NA,NA
ERR10710705,NA,NODE_14_length_115824_cov_49.004087,114455,114817,-,ble,bleomycin binding protein Ble-MBL,core,AMR,AMR,BLEOMYCIN,BLEOMYCIN,EXACTX,121,121,100.00,100.00,121,WP_004201167.1,bleomycin binding protein Ble-MBL,NA,NA
ERR10710705,NA,NODE_14_length_115824_cov_49.004087,114824,115633,-,blaNDM-1,subclass B1 metallo-beta-lactamase NDM-1,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,ALLELEX,270,270,100.00,100.00,270,WP_004201164.1,subclass B1 metallo-beta-lactamase NDM-1,NA,NA
ERR10710705,NA,NODE_16_length_88054_cov_52.924871,52585,53370,+,ant(3'')-IIa,aminoglycoside nucleotidyltransferase ANT(3'')-IIa,core,AMR,AMR,AMINOGLYCOSIDE,SPECTINOMYCIN/STREPTOMYCIN,EXACTX,262,262,100.00,100.00,262,WP_001279062.1,aminoglycoside nucleotidyltransferase ANT(3'')-IIa,NA,NA
ERR10710705,NA,NODE_1_length_430371_cov_50.114191,233,1045,+,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,271,271,100.00,100.00,271,WP_001043260.1,sulfonamide-resistant dihydropteroate synthase Sul2,NA,NA
ERR10710705,NA,NODE_1_length_430371_cov_50.114191,3664,4497,-,aph(6)-Id,aminoglycoside O-phosphotransferase APH(6)-Id,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,278,278,100.00,100.00,278,WP_000480968.1,aminoglycoside O-phosphotransferase APH(6)-Id,NA,NA
ERR10710705,NA,NODE_1_length_430371_cov_50.114191,4500,5300,-,aph(3'')-Ib,aminoglycoside O-phosphotransferase APH(3'')-Ib,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,267,267,100.00,100.00,267,WP_001082319.1,aminoglycoside O-phosphotransferase APH(3'')-Ib,NA,NA
ERR10710705,NA,NODE_22_length_60590_cov_47.501083,53299,54120,+,blaOXA-66,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,ALLELEX,274,274,100.00,100.00,274,WP_001021792.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66,NA,NA
ERR10710705,NA,NODE_33_length_15832_cov_47.735715,165,977,+,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,core,AMR,AMR,AMINOGLYCOSIDE,KANAMYCIN,EXACTX,271,271,100.00,100.00,271,WP_000018326.1,aminoglycoside O-phosphotransferase APH(3')-Ia,NA,NA
ERR10710705,NA,NODE_33_length_15832_cov_47.735715,2827,3378,+,aac(6')-Ib',aminoglycoside N-acetyltransferase AAC(6')-Ib',core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,EXACTX,184,184,100.00,100.00,184,WP_014454105.1,aminoglycoside N-acetyltransferase AAC(6')-Ib',NA,NA
ERR10710705,NA,NODE_33_length_15832_cov_47.735715,3474,4103,+,catB8,type B-3 chloramphenicol O-acetyltransferase CatB8,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,EXACTX,210,210,100.00,100.00,210,WP_002075262.1,type B-3 chloramphenicol O-acetyltransferase CatB8,NA,NA
ERR10710705,NA,NODE_33_length_15832_cov_47.735715,4164,4952,+,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,263,263,100.00,100.00,263,WP_001206316.1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,NA,NA
ERR10710705,NA,NODE_33_length_15832_cov_47.735715,5119,5463,+,qacEdelta1,quaternary ammonium compound efflux SMR transporter QacE delta 1,core,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,ALLELEX,115,115,100.00,100.00,115,WP_000679427.1,quaternary ammonium compound efflux SMR transporter QacE delta 1,NA,NA
ERR10710705,NA,NODE_33_length_15832_cov_47.735715,5460,6296,+,sul1,sulfonamide-resistant dihydropteroate synthase Sul1,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,279,279,100.00,100.00,279,WP_000259031.1,sulfonamide-resistant dihydropteroate synthase Sul1,NA,NA
ERR10710705,NA,NODE_33_length_15832_cov_47.735715,9644,10414,+,armA,16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,EXACTX,257,257,100.00,100.00,257,WP_000359986.1,16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA,NA,NA
ERR10710705,NA,NODE_33_length_15832_cov_47.735715,12716,14188,+,msr(E),ABC-F type ribosomal protection protein Msr(E),core,AMR,AMR,MACROLIDE/STREPTOGRAMIN,AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN,EXACTX,491,491,100.00,100.00,491,WP_000052512.1,ABC-F type ribosomal protection protein Msr(E),NA,NA
ERR10710705,NA,NODE_33_length_15832_cov_47.735715,14247,15128,+,mph(E),Mph(E) family macrolide 2'-phosphotransferase,core,AMR,AMR,MACROLIDE,ERYTHROMYCIN,EXACTX,294,294,100.00,100.00,294,WP_000155092.1,Mph(E) family macrolide 2'-phosphotransferase,NA,NA
ERR10710705,NA,NODE_3_length_290586_cov_48.577985,289330,290478,-,blaADC-30,extended-spectrum class C beta-lactamase ADC-30,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,ALLELEX,383,383,100.00,100.00,383,WP_001211218.1,extended-spectrum class C beta-lactamase ADC-30,NA,NA
ERR10710705,NA,NODE_42_length_2445_cov_47.801887,35,853,+,blaOXA-23,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,ALLELEX,273,273,100.00,100.00,273,WP_001046004.1,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23,NA,NA
ERR10710706,NA,NODE_20_length_86230_cov_34.285739,203,547,+,qacEdelta1,quaternary ammonium compound efflux SMR transporter QacE delta 1,core,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,ALLELEX,115,115,100.00,100.00,115,WP_000679427.1,quaternary ammonium compound efflux SMR transporter QacE delta 1,NA,NA
ERR10710706,NA,NODE_20_length_86230_cov_34.285739,544,1380,+,sul1,sulfonamide-resistant dihydropteroate synthase Sul1,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,279,279,100.00,100.00,279,WP_000259031.1,sulfonamide-resistant dihydropteroate synthase Sul1,NA,NA
ERR10710706,NA,NODE_21_length_79927_cov_35.302275,44458,45243,+,ant(3'')-IIa,aminoglycoside nucleotidyltransferase ANT(3'')-IIa,core,AMR,AMR,AMINOGLYCOSIDE,SPECTINOMYCIN/STREPTOMYCIN,EXACTX,262,262,100.00,100.00,262,WP_001279062.1,aminoglycoside nucleotidyltransferase ANT(3'')-IIa,NA,NA
ERR10710706,NA,NODE_24_length_64282_cov_36.039606,150,671,-,sat2,streptothricin N-acetyltransferase Sat2,core,AMR,AMR,STREPTOTHRICIN,STREPTOTHRICIN,EXACTX,174,174,100.00,100.00,174,WP_000704156.1,streptothricin N-acetyltransferase Sat2,NA,NA
ERR10710706,NA,NODE_24_length_64282_cov_36.039606,769,1239,-,dfrA1,trimethoprim-resistant dihydrofolate reductase DfrA1,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,157,157,100.00,100.00,157,WP_000777554.1,trimethoprim-resistant dihydrofolate reductase DfrA1,NA,NA
ERR10710706,NA,NODE_3_length_245277_cov_33.649108,243956,245104,-,blaADC-191,extended-spectrum class C beta-lactamase ADC-191,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,ALLELEX,383,383,100.00,100.00,383,WP_003112187.1,extended-spectrum class C beta-lactamase ADC-191,NA,NA
ERR10710706,NA,NODE_40_length_10134_cov_36.595316,162,974,+,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,271,271,100.00,100.00,271,WP_001043260.1,sulfonamide-resistant dihydropteroate synthase Sul2,NA,NA
ERR10710706,NA,NODE_40_length_10134_cov_36.595316,1595,2797,-,tet(B),tetracycline efflux MFS transporter Tet(B),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,401,401,100.00,100.00,401,WP_001089072.1,tetracycline efflux MFS transporter Tet(B),NA,NA
ERR10710706,NA,NODE_41_length_9668_cov_233.390950,1692,2510,-,blaOXA-23,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,ALLELEX,273,273,100.00,100.00,273,WP_001046004.1,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23,NA,NA
ERR10710706,NA,NODE_44_length_8122_cov_10.078898,6753,7115,-,ble,bleomycin binding protein Ble-MBL,core,AMR,AMR,BLEOMYCIN,BLEOMYCIN,EXACTX,121,121,100.00,100.00,121,WP_004201167.1,bleomycin binding protein Ble-MBL,NA,NA
