Name,Protein identifier,Contig id,Start,Stop,Strand,Gene symbol,Sequence name,Scope,Element type,Element subtype,Class,Subclass,Method,Target length,Reference sequence length,% Coverage of reference sequence,% Identity to reference sequence,Alignment length,Accession of closest sequence,Name of closest sequence,HMM id,HMM description,sample_id,molecule_type,primary_cluster_id,secondary_cluster_id,contig_id,size,gc,md5,circularity_status,rep_type(s),rep_type_accession(s),relaxase_type(s),relaxase_type_accession(s),mpf_type,mpf_type_accession(s),orit_type(s),orit_accession(s),predicted_mobility,mash_nearest_neighbor,mash_neighbor_distance,mash_neighbor_identification,repetitive_dna_id,repetitive_dna_type,filtering_reason
ERR10710700,,NODE_37_length_14082_cov_46.744761,7894,8664,+,armA,16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,EXACTX,257,257,100.0,100.0,257,WP_000359986.1,16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA,,,ERR10710700,chromosome,-,-,NODE_37_length_14082_cov_46.744761,14082,0.4745774747905127,8f1ff3e6c98d4053f27e2b6f58eba4c7,not tested,-,-,-,-,-,-,-,-,-,-,-,-,"KF306092,KF512015","IS1394,ISPsp2",repetitve element
ERR10710700,,NODE_37_length_14082_cov_46.744761,10966,12438,+,msr(E),ABC-F type ribosomal protection protein Msr(E),core,AMR,AMR,MACROLIDE/STREPTOGRAMIN,AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN,EXACTX,491,491,100.0,100.0,491,WP_000052512.1,ABC-F type ribosomal protection protein Msr(E),,,ERR10710700,chromosome,-,-,NODE_37_length_14082_cov_46.744761,14082,0.4745774747905127,8f1ff3e6c98d4053f27e2b6f58eba4c7,not tested,-,-,-,-,-,-,-,-,-,-,-,-,"KF306092,KF512015","IS1394,ISPsp2",repetitve element
ERR10710700,,NODE_37_length_14082_cov_46.744761,12497,13378,+,mph(E),Mph(E) family macrolide 2'-phosphotransferase,core,AMR,AMR,MACROLIDE,ERYTHROMYCIN,EXACTX,294,294,100.0,100.0,294,WP_000155092.1,Mph(E) family macrolide 2'-phosphotransferase,,,ERR10710700,chromosome,-,-,NODE_37_length_14082_cov_46.744761,14082,0.4745774747905127,8f1ff3e6c98d4053f27e2b6f58eba4c7,not tested,-,-,-,-,-,-,-,-,-,-,-,-,"KF306092,KF512015","IS1394,ISPsp2",repetitve element
ERR10710700,,NODE_3_length_290278_cov_56.825635,289022,290170,-,blaADC-30,extended-spectrum class C beta-lactamase ADC-30,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,ALLELEX,383,383,100.0,100.0,383,WP_001211218.1,extended-spectrum class C beta-lactamase ADC-30,,,ERR10710700,chromosome,-,-,NODE_3_length_290278_cov_56.825635,290278,0.3846140596256003,b4683db01b0ea3b5029fa4c35cc35d66,not tested,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ERR10710700,,NODE_46_length_2445_cov_57.773585,35,853,+,blaOXA-23,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,ALLELEX,273,273,100.0,100.0,273,WP_001046004.1,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23,,,ERR10710700,plasmid,AC715,AM016,NODE_46_length_2445_cov_57.773585,2445,0.3738241308793456,bd16752f1b4d238285b6ca65e976afd2,not tested,-,-,-,-,-,-,-,-,-,CP035932,0.0107405,Acinetobacter baumannii,-,-,-
ERR10710700,,NODE_52_length_1128_cov_60.465500,152,964,-,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,core,AMR,AMR,AMINOGLYCOSIDE,KANAMYCIN,EXACTX,271,271,100.0,100.0,271,WP_000018326.1,aminoglycoside O-phosphotransferase APH(3')-Ia,,,ERR10710700,chromosome,-,-,NODE_52_length_1128_cov_60.465500,1128,0.4388297872340425,8f5d9925b417047cf962f23b548d6d17,not tested,-,-,-,-,-,-,-,-,-,-,-,-,"MF805806,CP001182,MF372716,JQ899055","IS1006,IS15,ISPmi2,Tn3",repetitve element
ERR10710700,,NODE_7_length_196738_cov_57.687417,81106,81915,+,blaNDM-1,subclass B1 metallo-beta-lactamase NDM-1,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,ALLELEX,270,270,100.0,100.0,270,WP_004201164.1,subclass B1 metallo-beta-lactamase NDM-1,,,ERR10710700,chromosome,-,-,NODE_7_length_196738_cov_57.687417,196738,0.4095090933119173,f34055915129fe854e7ba0e10d066fe3,not tested,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ERR10710700,,NODE_7_length_196738_cov_57.687417,81922,82284,+,ble,bleomycin binding protein Ble-MBL,core,AMR,AMR,BLEOMYCIN,BLEOMYCIN,EXACTX,121,121,100.0,100.0,121,WP_004201167.1,bleomycin binding protein Ble-MBL,,,ERR10710700,chromosome,-,-,NODE_7_length_196738_cov_57.687417,196738,0.4095090933119173,f34055915129fe854e7ba0e10d066fe3,not tested,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ERR10710702,,NODE_15_length_88054_cov_39.590336,34685,35470,-,ant(3'')-IIa,aminoglycoside nucleotidyltransferase ANT(3'')-IIa,core,AMR,AMR,AMINOGLYCOSIDE,SPECTINOMYCIN/STREPTOMYCIN,EXACTX,262,262,100.0,100.0,262,WP_001279062.1,aminoglycoside nucleotidyltransferase ANT(3'')-IIa,,,ERR10710702,chromosome,-,-,NODE_15_length_88054_cov_39.590336,88054,0.4059667931042315,efb7bd08d8536eacc26e29cd0d3497d5,not tested,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ERR10710702,,NODE_1_length_430272_cov_37.744872,425072,425872,+,aph(3'')-Ib,aminoglycoside O-phosphotransferase APH(3'')-Ib,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,267,267,100.0,100.0,267,WP_001082319.1,aminoglycoside O-phosphotransferase APH(3'')-Ib,,,ERR10710702,chromosome,-,-,NODE_1_length_430272_cov_37.744872,430272,0.4039909638554217,f19762aaabe6fe8ebe0ab4ba47d95328,not tested,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ERR10710702,,NODE_1_length_430272_cov_37.744872,425875,426708,+,aph(6)-Id,aminoglycoside O-phosphotransferase APH(6)-Id,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,278,278,100.0,100.0,278,WP_000480968.1,aminoglycoside O-phosphotransferase APH(6)-Id,,,ERR10710702,chromosome,-,-,NODE_1_length_430272_cov_37.744872,430272,0.4039909638554217,f19762aaabe6fe8ebe0ab4ba47d95328,not tested,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ERR10710702,,NODE_1_length_430272_cov_37.744872,429327,430139,-,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,271,271,100.0,100.0,271,WP_001043260.1,sulfonamide-resistant dihydropteroate synthase Sul2,,,ERR10710702,chromosome,-,-,NODE_1_length_430272_cov_37.744872,430272,0.4039909638554217,f19762aaabe6fe8ebe0ab4ba47d95328,not tested,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ERR10710702,,NODE_23_length_60590_cov_37.262403,6471,7292,-,blaOXA-66,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,ALLELEX,274,274,100.0,100.0,274,WP_001021792.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66,,,ERR10710702,chromosome,-,-,NODE_23_length_60590_cov_37.262403,60590,0.3755240138636739,86986bcd948e118ab3882147bd63d4dd,not tested,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ERR10710702,,NODE_37_length_14082_cov_32.093042,1077,1628,+,aac(6')-Ib',aminoglycoside N-acetyltransferase AAC(6')-Ib',core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,EXACTX,184,184,100.0,100.0,184,WP_014454105.1,aminoglycoside N-acetyltransferase AAC(6')-Ib',,,ERR10710702,chromosome,-,-,NODE_37_length_14082_cov_32.093042,14082,0.4745774747905127,8f1ff3e6c98d4053f27e2b6f58eba4c7,not tested,-,-,-,-,-,-,-,-,-,-,-,-,"KF306092,KF512015","IS1394,ISPsp2",repetitve element
ERR10710702,,NODE_37_length_14082_cov_32.093042,1724,2353,+,catB8,type B-3 chloramphenicol O-acetyltransferase CatB8,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,EXACTX,210,210,100.0,100.0,210,WP_002075262.1,type B-3 chloramphenicol O-acetyltransferase CatB8,,,ERR10710702,chromosome,-,-,NODE_37_length_14082_cov_32.093042,14082,0.4745774747905127,8f1ff3e6c98d4053f27e2b6f58eba4c7,not tested,-,-,-,-,-,-,-,-,-,-,-,-,"KF306092,KF512015","IS1394,ISPsp2",repetitve element
ERR10710702,,NODE_37_length_14082_cov_32.093042,2414,3202,+,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,263,263,100.0,100.0,263,WP_001206316.1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,,,ERR10710702,chromosome,-,-,NODE_37_length_14082_cov_32.093042,14082,0.4745774747905127,8f1ff3e6c98d4053f27e2b6f58eba4c7,not tested,-,-,-,-,-,-,-,-,-,-,-,-,"KF306092,KF512015","IS1394,ISPsp2",repetitve element
ERR10710702,,NODE_37_length_14082_cov_32.093042,3369,3713,+,qacEdelta1,quaternary ammonium compound efflux SMR transporter QacE delta 1,core,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,ALLELEX,115,115,100.0,100.0,115,WP_000679427.1,quaternary ammonium compound efflux SMR transporter QacE delta 1,,,ERR10710702,chromosome,-,-,NODE_37_length_14082_cov_32.093042,14082,0.4745774747905127,8f1ff3e6c98d4053f27e2b6f58eba4c7,not tested,-,-,-,-,-,-,-,-,-,-,-,-,"KF306092,KF512015","IS1394,ISPsp2",repetitve element
ERR10710702,,NODE_37_length_14082_cov_32.093042,3710,4546,+,sul1,sulfonamide-resistant dihydropteroate synthase Sul1,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,279,279,100.0,100.0,279,WP_000259031.1,sulfonamide-resistant dihydropteroate synthase Sul1,,,ERR10710702,chromosome,-,-,NODE_37_length_14082_cov_32.093042,14082,0.4745774747905127,8f1ff3e6c98d4053f27e2b6f58eba4c7,not tested,-,-,-,-,-,-,-,-,-,-,-,-,"KF306092,KF512015","IS1394,ISPsp2",repetitve element
ERR10710702,,NODE_37_length_14082_cov_32.093042,7894,8664,+,armA,16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,EXACTX,257,257,100.0,100.0,257,WP_000359986.1,16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA,,,ERR10710702,chromosome,-,-,NODE_37_length_14082_cov_32.093042,14082,0.4745774747905127,8f1ff3e6c98d4053f27e2b6f58eba4c7,not tested,-,-,-,-,-,-,-,-,-,-,-,-,"KF306092,KF512015","IS1394,ISPsp2",repetitve element
ERR10710702,,NODE_37_length_14082_cov_32.093042,10966,12438,+,msr(E),ABC-F type ribosomal protection protein Msr(E),core,AMR,AMR,MACROLIDE/STREPTOGRAMIN,AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN,EXACTX,491,491,100.0,100.0,491,WP_000052512.1,ABC-F type ribosomal protection protein Msr(E),,,ERR10710702,chromosome,-,-,NODE_37_length_14082_cov_32.093042,14082,0.4745774747905127,8f1ff3e6c98d4053f27e2b6f58eba4c7,not tested,-,-,-,-,-,-,-,-,-,-,-,-,"KF306092,KF512015","IS1394,ISPsp2",repetitve element
ERR10710702,,NODE_37_length_14082_cov_32.093042,12497,13378,+,mph(E),Mph(E) family macrolide 2'-phosphotransferase,core,AMR,AMR,MACROLIDE,ERYTHROMYCIN,EXACTX,294,294,100.0,100.0,294,WP_000155092.1,Mph(E) family macrolide 2'-phosphotransferase,,,ERR10710702,chromosome,-,-,NODE_37_length_14082_cov_32.093042,14082,0.4745774747905127,8f1ff3e6c98d4053f27e2b6f58eba4c7,not tested,-,-,-,-,-,-,-,-,-,-,-,-,"KF306092,KF512015","IS1394,ISPsp2",repetitve element
ERR10710702,,NODE_3_length_290586_cov_36.064616,109,1257,+,blaADC-30,extended-spectrum class C beta-lactamase ADC-30,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,ALLELEX,383,383,100.0,100.0,383,WP_001211218.1,extended-spectrum class C beta-lactamase ADC-30,,,ERR10710702,chromosome,-,-,NODE_3_length_290586_cov_36.064616,290586,0.3844266413385366,a3395fa5a1c6520313fff86c585fc635,not tested,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ERR10710702,,NODE_40_length_7846_cov_15.452950,192,1001,+,blaNDM-1,subclass B1 metallo-beta-lactamase NDM-1,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,ALLELEX,270,270,100.0,100.0,270,WP_004201164.1,subclass B1 metallo-beta-lactamase NDM-1,,,ERR10710702,chromosome,-,-,NODE_40_length_7846_cov_15.452950,7846,0.62528677032883,fc5b6b9e25108989a98348d35f0aa4ee,not tested,-,-,-,-,-,-,-,-,-,-,-,-,KY978629,IS5D,repetitve element
ERR10710702,,NODE_40_length_7846_cov_15.452950,1008,1370,+,ble,bleomycin binding protein Ble-MBL,core,AMR,AMR,BLEOMYCIN,BLEOMYCIN,EXACTX,121,121,100.0,100.0,121,WP_004201167.1,bleomycin binding protein Ble-MBL,,,ERR10710702,chromosome,-,-,NODE_40_length_7846_cov_15.452950,7846,0.62528677032883,fc5b6b9e25108989a98348d35f0aa4ee,not tested,-,-,-,-,-,-,-,-,-,-,-,-,KY978629,IS5D,repetitve element
ERR10710702,,NODE_46_length_2640_cov_36.622196,134,952,+,blaOXA-23,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,ALLELEX,273,273,100.0,100.0,273,WP_001046004.1,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-23,,,ERR10710702,plasmid,AC715,AM016,NODE_46_length_2640_cov_36.622196,2640,0.3674242424242424,8cf3fd5736f512175e338553f64cf1d1,not tested,-,-,-,-,-,-,-,-,-,CP035932,0.0106545,Acinetobacter baumannii,-,-,-
ERR10710702,,NODE_51_length_1128_cov_34.723032,152,964,-,aph(3')-Ia,aminoglycoside O-phosphotransferase APH(3')-Ia,core,AMR,AMR,AMINOGLYCOSIDE,KANAMYCIN,EXACTX,271,271,100.0,100.0,271,WP_000018326.1,aminoglycoside O-phosphotransferase APH(3')-Ia,,,ERR10710702,chromosome,-,-,NODE_51_length_1128_cov_34.723032,1128,0.4388297872340425,8f5d9925b417047cf962f23b548d6d17,not tested,-,-,-,-,-,-,-,-,-,-,-,-,"MF805806,CP001182,MF372716,JQ899055","IS1006,IS15,ISPmi2,Tn3",repetitve element
ERR10710703,,NODE_15_length_88054_cov_56.072037,52585,53370,+,ant(3'')-IIa,aminoglycoside nucleotidyltransferase ANT(3'')-IIa,core,AMR,AMR,AMINOGLYCOSIDE,SPECTINOMYCIN/STREPTOMYCIN,EXACTX,262,262,100.0,100.0,262,WP_001279062.1,aminoglycoside nucleotidyltransferase ANT(3'')-IIa,,,ERR10710703,chromosome,-,-,NODE_15_length_88054_cov_56.072037,88054,0.4059667931042315,8622b0bbc8db877300fc21e2e4443695,not tested,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ERR10710703,,NODE_1_length_430371_cov_54.796303,425072,425872,+,aph(3'')-Ib,aminoglycoside O-phosphotransferase APH(3'')-Ib,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,267,267,100.0,100.0,267,WP_001082319.1,aminoglycoside O-phosphotransferase APH(3'')-Ib,,,ERR10710703,chromosome,-,-,NODE_1_length_430371_cov_54.796303,430371,0.4039770337685392,2fc25fe0d0a34f6bb1100a52ae2d5209,not tested,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ERR10710703,,NODE_1_length_430371_cov_54.796303,425875,426708,+,aph(6)-Id,aminoglycoside O-phosphotransferase APH(6)-Id,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,278,278,100.0,100.0,278,WP_000480968.1,aminoglycoside O-phosphotransferase APH(6)-Id,,,ERR10710703,chromosome,-,-,NODE_1_length_430371_cov_54.796303,430371,0.4039770337685392,2fc25fe0d0a34f6bb1100a52ae2d5209,not tested,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ERR10710703,,NODE_1_length_430371_cov_54.796303,429327,430139,-,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,271,271,100.0,100.0,271,WP_001043260.1,sulfonamide-resistant dihydropteroate synthase Sul2,,,ERR10710703,chromosome,-,-,NODE_1_length_430371_cov_54.796303,430371,0.4039770337685392,2fc25fe0d0a34f6bb1100a52ae2d5209,not tested,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ERR10710703,,NODE_22_length_60590_cov_54.003174,6471,7292,-,blaOXA-66,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,ALLELEX,274,274,100.0,100.0,274,WP_001021792.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-66,,,ERR10710703,chromosome,-,-,NODE_22_length_60590_cov_54.003174,60590,0.3755240138636739,86986bcd948e118ab3882147bd63d4dd,not tested,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ERR10710703,,NODE_39_length_14082_cov_43.844740,705,1586,-,mph(E),Mph(E) family macrolide 2'-phosphotransferase,core,AMR,AMR,MACROLIDE,ERYTHROMYCIN,EXACTX,294,294,100.0,100.0,294,WP_000155092.1,Mph(E) family macrolide 2'-phosphotransferase,,,ERR10710703,chromosome,-,-,NODE_39_length_14082_cov_43.844740,14082,0.4745774747905127,bfcd602f66e0745e508743c55c2e04d8,not tested,-,-,-,-,-,-,-,-,-,-,-,-,"KF306092,KF512015","IS1394,ISPsp2",repetitve element
ERR10710703,,NODE_39_length_14082_cov_43.844740,1645,3117,-,msr(E),ABC-F type ribosomal protection protein Msr(E),core,AMR,AMR,MACROLIDE/STREPTOGRAMIN,AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN,EXACTX,491,491,100.0,100.0,491,WP_000052512.1,ABC-F type ribosomal protection protein Msr(E),,,ERR10710703,chromosome,-,-,NODE_39_length_14082_cov_43.844740,14082,0.4745774747905127,bfcd602f66e0745e508743c55c2e04d8,not tested,-,-,-,-,-,-,-,-,-,-,-,-,"KF306092,KF512015","IS1394,ISPsp2",repetitve element
ERR10710703,,NODE_39_length_14082_cov_43.844740,5419,6189,-,armA,16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,EXACTX,257,257,100.0,100.0,257,WP_000359986.1,16S rRNA (guanine(1405)-N(7))-methyltransferase ArmA,,,ERR10710703,chromosome,-,-,NODE_39_length_14082_cov_43.844740,14082,0.4745774747905127,bfcd602f66e0745e508743c55c2e04d8,not tested,-,-,-,-,-,-,-,-,-,-,-,-,"KF306092,KF512015","IS1394,ISPsp2",repetitve element
ERR10710703,,NODE_39_length_14082_cov_43.844740,9537,10373,-,sul1,sulfonamide-resistant dihydropteroate synthase Sul1,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,279,279,100.0,100.0,279,WP_000259031.1,sulfonamide-resistant dihydropteroate synthase Sul1,,,ERR10710703,chromosome,-,-,NODE_39_length_14082_cov_43.844740,14082,0.4745774747905127,bfcd602f66e0745e508743c55c2e04d8,not tested,-,-,-,-,-,-,-,-,-,-,-,-,"KF306092,KF512015","IS1394,ISPsp2",repetitve element
ERR10710703,,NODE_39_length_14082_cov_43.844740,10370,10714,-,qacEdelta1,quaternary ammonium compound efflux SMR transporter QacE delta 1,core,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,ALLELEX,115,115,100.0,100.0,115,WP_000679427.1,quaternary ammonium compound efflux SMR transporter QacE delta 1,,,ERR10710703,chromosome,-,-,NODE_39_length_14082_cov_43.844740,14082,0.4745774747905127,bfcd602f66e0745e508743c55c2e04d8,not tested,-,-,-,-,-,-,-,-,-,-,-,-,"KF306092,KF512015","IS1394,ISPsp2",repetitve element
ERR10710703,,NODE_39_length_14082_cov_43.844740,10881,11669,-,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,263,263,100.0,100.0,263,WP_001206316.1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,,,ERR10710703,chromosome,-,-,NODE_39_length_14082_cov_43.844740,14082,0.4745774747905127,bfcd602f66e0745e508743c55c2e04d8,not tested,-,-,-,-,-,-,-,-,-,-,-,-,"KF306092,KF512015","IS1394,ISPsp2",repetitve element
